ClinicalDomainKey,ClinicalDomainName,DisplayOrder,DisclosureClass
CD01,Clinical coding,1,PUBLIC_SAFE_PROJECT_METADATA
CD02,Comorbidity,2,PUBLIC_SAFE_PROJECT_METADATA
CD03,Patient demographics,3,PUBLIC_SAFE_PROJECT_METADATA
CD04,Visit operations,4,PUBLIC_SAFE_PROJECT_METADATA
CD05,Disposition and outcomes,5,PUBLIC_SAFE_PROJECT_METADATA
CD06,Charges,6,PUBLIC_SAFE_PROJECT_METADATA
CD07,Provider measurement,7,PUBLIC_SAFE_PROJECT_METADATA
CD08,Facility measurement,8,PUBLIC_SAFE_PROJECT_METADATA
CD09,Unsupported measures,9,PUBLIC_SAFE_PROJECT_METADATA
