PartitionKey,PeriodKey,SchemaFamilyKey,PartitionStatus,ReconciliationStatus,AvailableFlag,ExclusionReason,DiagnosisCodeEra,LengthOfStayAvailability,SourceClass,DisclosureClass
PT20182,20182,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20183,20183,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20184,20184,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20191,20191,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20192,20192,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20193,20193,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20194,20194,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20201,20201,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20202,20202,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20203,20203,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20204,20204,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20211,20211,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20212,20212,SF4,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
