column_name,column_type,null,key,default,extra,variable_role,historical_track,hourly_los_policy
physician_clinician_type,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_md_do_flag,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
provider_v2_md_do_eligible_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
provider_measurement_version,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_provider_name,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_gender_category,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_gender_source,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_gender_source_conflict_flag,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_taxonomy_display_name,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_cms_primary_specialty,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_ed_specialist_flag,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_years_since_medical_school,INTEGER,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_has_fl_doh_hospital_privilege,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_doh_hospital_privilege_count,BIGINT,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_has_cms_group_practice_affiliation,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_cms_group_practice_count,BIGINT,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_has_cms_current_facility_affiliation,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_cms_facility_certification_count,UINTEGER,YES,,,,provider measurement,2005-2008 separate provider-v2,
attending_has_any_current_hospital_affiliation,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_primary_label,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_method_id,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_method_label,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_prob_white,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_prob_black,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_prob_hispanic,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_prob_asian,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_proxy_prob_other,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_population_prob_white,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_population_prob_black,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_population_prob_hispanic,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_population_prob_asian,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_population_prob_other,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_population_label,VARCHAR,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_population_max_probability,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_population_black_white_mass,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_population_prob_black_conditional_bw,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_label_disagrees_between_priors_flag,BOOLEAN,YES,,,,provider measurement,2005-2008 separate provider-v2,
physician_race_imputation_confidence,DOUBLE,YES,,,,provider measurement,2005-2008 separate provider-v2,
